#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-05-05 16:26:14 EDT      (sdww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 06478513 JAMES RIVER NR YANKTON SD
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		294960	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	06478513	00060	294960	5	4	2014	2021	8	2019	16500	2015	146	4410			481	701	3050	5850	8300		
USGS	06478513	00060	294960	5	5	2014	2021	8	2019	15500	2015	146	4220			460	682	2850	5820	8100		
USGS	06478513	00060	294960	5	6	2014	2021	8	2019	14400	2015	149	3990			445	659	2690	5640	7740		
USGS	06478513	00060	294960	5	7	2014	2021	8	2019	13400	2015	151	3760			434	641	2500	5500	7470		
USGS	06478513	00060	294960	5	8	2014	2021	8	2019	12800	2015	144	3560			417	613	2220	5340	7280		
USGS	06478513	00060	294960	5	9	2014	2021	8	2019	13100	2015	146	3430			420	598	1880	5130	7240		
USGS	06478513	00060	294960	5	10	2014	2021	8	2019	14700	2015	174	3480			412	577	1630	4900	7440		
USGS	06478513	00060	294960	5	11	2014	2021	8	2019	15500	2015	206	3510			401	552	1600	4690	7450		
USGS	06478513	00060	294960	5	12	2014	2021	8	2019	14800	2015	197	3420			387	533	1720	4580	7210		
USGS	06478513	00060	294960	5	13	2014	2021	8	2019	13600	2015	202	3250			365	508	1730	4490	6880		
USGS	06478513	00060	294960	5	14	2014	2021	8	2019	12700	2015	233	3100			362	493	1610	4440	6670		
USGS	06478513	00060	294960	5	15	2014	2021	8	2019	12000	2015	235	2950			354	480	1440	4410	6510		
USGS	06478513	00060	294960	5	16	2014	2021	8	2019	11400	2015	277	2850			362	483	1320	4400	6400		
USGS	06478513	00060	294960	5	17	2014	2021	8	2019	10800	2021	381	2780			411	517	1220	4520	6420		
USGS	06478513	00060	294960	5	18	2014	2021	8	2019	10900	2021	375	2790			388	514	1170	4560	6520		
USGS	06478513	00060	294960	5	19	2014	2021	8	2019	12200	2015	351	2940			359	515	1120	4600	6840		
USGS	06478513	00060	294960	5	20	2014	2021	8	2019	12600	2021	352	3000			401	534	1190	4620	6950		
USGS	06478513	00060	294960	5	21	2014	2021	8	2019	12000	2021	376	2960			470	570	1330	4640	6880		
USGS	06478513	00060	294960	5	22	2014	2021	8	2019	11700	2021	374	2970			540	620	1480	4690	6880		
USGS	06478513	00060	294960	5	23	2014	2021	8	2019	11900	2021	349	2980			599	670	1440	4700	6950		
USGS	06478513	00060	294960	5	24	2014	2021	8	2019	12900	2021	340	3090			604	676	1320	4780	7240		
USGS	06478513	00060	294960	5	25	2014	2021	8	2019	14900	2021	323	3420			656	852	1240	4930	7780		
USGS	06478513	00060	294960	5	26	2014	2021	8	2019	15900	2021	302	3690			723	888	1530	5290	8320		
USGS	06478513	00060	294960	5	27	2014	2021	8	2019	16300	2021	301	3780			776	924	1480	5610	8730		
USGS	06478513	00060	294960	5	28	2014	2021	8	2019	17400	2021	306	3920			819	949	1430	5710	9060		
USGS	06478513	00060	294960	5	29	2014	2021	8	2019	18300	2021	308	4040			765	914	1410	5600	9040		
USGS	06478513	00060	294960	5	30	2014	2021	8	2019	21100	2021	304	4460			723	898	1390	5570	9310		
USGS	06478513	00060	294960	5	31	2014	2021	8	2019	21200	2021	289	4480			703	910	1370	5370	9010		
USGS	06478513	00060	294960	6	1	2014	2021	8	2019	19200	2021	277	4250			683	913	1490	5200	8390		
USGS	06478513	00060	294960	6	2	2014	2021	8	2019	17200	2021	267	3950			662	903	1510	4950	7740		
USGS	06478513	00060	294960	6	3	2014	2021	8	2019	15400	2021	252	3620			654	898	1410	4670	7180		
USGS	06478513	00060	294960	6	4	2014	2021	8	2019	13900	2021	232	3320			650	895	1410	4340	6710		
USGS	06478513	00060	294960	6	5	2014	2021	8	2019	12700	2021	211	3070			659	901	1410	4060	6320		
USGS	06478513	00060	294960	6	6	2014	2021	8	2019	11700	2021	194	2870			670	904	1430	3790	5930		
USGS	06478513	00060	294960	6	7	2014	2021	8	2019	10900	2021	175	2740			678	910	1470	3620	5630		
USGS	06478513	00060	294960	6	8	2014	2021	8	2019	10100	2021	163	2590			657	892	1390	3470	5310		
USGS	06478513	00060	294960	6	9	2014	2021	8	2019	9520	2021	170	2550			669	873	1360	3670	5330		
USGS	06478513	00060	294960	6	10	2014	2021	8	2019	8880	2021	170	2520			627	800	1390	4090	5670		
USGS	06478513	00060	294960	6	11	2014	2021	8	2019	8410	2021	187	2390			545	694	1440	3790	5270		
USGS	06478513	00060	294960	6	12	2014	2021	8	2019	8010	2021	186	2370			604	727	1460	3970	5410		
USGS	06478513	00060	294960	6	13	2014	2021	8	2019	7580	2021	184	2610			594	850	1530	4810	6000		
USGS	06478513	00060	294960	6	14	2014	2021	8	2019	7210	2021	175	2570			555	790	1470	5310	6600		
USGS	06478513	00060	294960	6	15	2014	2021	8	2020	6910	2021	162	2460			534	748	1270	5520	6890		
USGS	06478513	00060	294960	6	16	2014	2021	8	2020	6680	2021	143	2340			499	661	1210	5280	6590		
USGS	06478513	00060	294960	6	17	2014	2021	8	2019	6250	2021	136	2230			492	637	1190	5050	6250		
USGS	06478513	00060	294960	6	18	2014	2021	8	2020	5990	2021	125	2190			628	765	1150	4880	5970		
USGS	06478513	00060	294960	6	19	2014	2021	8	2020	5750	2021	112	2230			602	762	1320	4780	5710		
USGS	06478513	00060	294960	6	20	2014	2021	8	2020	5530	2021	113	2260			586	771	1290	4800	5510		
USGS	06478513	00060	294960	6	21	2014	2021	8	2019	5390	2021	104	2450			570	749	2100	4720	5340		
USGS	06478513	00060	294960	6	22	2014	2021	8	2019	5290	2021	109	2550			568	693	2170	4900	5200		
USGS	06478513	00060	294960	6	23	2014	2021	8	2019	5220	2021	99.0	2500			477	600	2120	4800	5070		
USGS	06478513	00060	294960	6	24	2014	2021	8	2019	5250	2021	83.0	2400			412	545	1980	4590	4900		
USGS	06478513	00060	294960	6	25	2014	2021	8	2019	5190	2021	69.8	2320			372	512	1870	4400	4730		
USGS	06478513	00060	294960	6	26	2014	2021	8	2019	5070	2021	72.3	2330			348	490	1800	4480	4670		
USGS	06478513	00060	294960	6	27	2014	2021	8	2019	5050	2021	68.5	2300			333	480	1780	4450	4680		
USGS	06478513	00060	294960	6	28	2014	2021	8	2019	4920	2021	67.4	2320			316	507	1770	4480	4660		
USGS	06478513	00060	294960	6	29	2014	2021	8	2019	4720	2021	66.6	2380			283	623	1780	4560	4690		
USGS	06478513	00060	294960	6	30	2014	2021	8	2020	4770	2021	68.6	2360			253	547	1780	4500	4610		
USGS	06478513	00060	294960	7	1	2014	2021	8	2020	4890	2021	66.2	2310			230	463	1760	4410	4550		
USGS	06478513	00060	294960	7	2	2014	2021	8	2020	5030	2021	63.1	2220			217	399	1750	4190	4490		
USGS	06478513	00060	294960	7	3	2014	2021	8	2020	5510	2021	59.4	2140			209	358	1750	3900	4490		
USGS	06478513	00060	294960	7	4	2014	2021	8	2020	6140	2021	57.3	2130			201	326	1720	3720	4550		
USGS	06478513	00060	294960	7	5	2014	2021	8	2020	6590	2021	55.5	2120			187	297	1720	3600	4610		
USGS	06478513	00060	294960	7	6	2014	2021	8	2020	6630	2021	56.4	2080			176	277	1720	3480	4570		
USGS	06478513	00060	294960	7	7	2014	2021	8	2020	6420	2021	70.3	2060			174	266	1600	3520	4470		
USGS	06478513	00060	294960	7	8	2014	2021	8	2020	6160	2021	128	2050			190	266	1500	3590	4410		
USGS	06478513	00060	294960	7	9	2014	2021	8	2020	5860	2021	103	2060			180	256	1450	4010	4800		
USGS	06478513	00060	294960	7	10	2014	2021	8	2020	5320	2021	87.7	2010			182	256	1420	4280	5020		
