agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,5,9,2014,2021,8,5/9/2015,821
USGS,6479010,60,128843,5,10,2014,2021,8,5/10/2015,755
USGS,6479010,60,128843,5,11,2014,2021,8,5/11/2015,749
USGS,6479010,60,128843,5,12,2014,2021,8,5/12/2015,782
USGS,6479010,60,128843,5,13,2014,2021,8,5/13/2015,811
USGS,6479010,60,128843,5,14,2014,2021,8,5/14/2015,814
USGS,6479010,60,128843,5,15,2014,2021,8,5/15/2015,794
USGS,6479010,60,128843,5,16,2014,2021,8,5/16/2015,763
USGS,6479010,60,128843,5,17,2014,2021,8,5/17/2015,731
USGS,6479010,60,128843,5,18,2014,2021,8,5/18/2015,760
USGS,6479010,60,128843,5,19,2014,2021,8,5/19/2015,812
USGS,6479010,60,128843,5,20,2014,2021,8,5/20/2015,824
USGS,6479010,60,128843,5,21,2014,2021,8,5/21/2015,871
USGS,6479010,60,128843,5,22,2014,2021,8,5/22/2015,873
USGS,6479010,60,128843,5,23,2014,2021,8,5/23/2015,829
USGS,6479010,60,128843,5,24,2014,2021,8,5/24/2015,844
USGS,6479010,60,128843,5,25,2014,2021,8,5/25/2015,828
USGS,6479010,60,128843,5,26,2014,2021,8,5/26/2015,832
USGS,6479010,60,128843,5,27,2014,2021,8,5/27/2015,832
USGS,6479010,60,128843,5,28,2014,2021,8,5/28/2015,837
USGS,6479010,60,128843,5,29,2014,2021,8,5/29/2015,971
USGS,6479010,60,128843,5,30,2014,2021,8,5/30/2015,1170
USGS,6479010,60,128843,5,31,2014,2021,8,5/31/2015,1340
USGS,6479010,60,128843,6,1,2014,2021,8,6/1/2015,1340
USGS,6479010,60,128843,6,2,2014,2021,8,6/2/2015,1310
USGS,6479010,60,128843,6,3,2014,2021,8,6/3/2015,1250
USGS,6479010,60,128843,6,4,2014,2021,8,6/4/2015,1140
USGS,6479010,60,128843,6,5,2014,2021,8,6/5/2015,1050
USGS,6479010,60,128843,6,6,2014,2021,8,6/6/2015,927
USGS,6479010,60,128843,6,7,2014,2021,8,6/7/2015,854
USGS,6479010,60,128843,6,8,2014,2021,8,6/8/2015,839
