agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,8,8,2014,2021,8,8/8/2015,1820
USGS,6478513,60,294960,8,9,2014,2021,8,8/9/2015,1810
USGS,6478513,60,294960,8,10,2014,2021,8,8/10/2015,1840
USGS,6478513,60,294960,8,11,2014,2021,8,8/11/2015,1910
USGS,6478513,60,294960,8,12,2014,2021,8,8/12/2015,1980
USGS,6478513,60,294960,8,13,2014,2021,8,8/13/2015,2010
USGS,6478513,60,294960,8,14,2014,2021,8,8/14/2015,2010
USGS,6478513,60,294960,8,15,2014,2021,8,8/15/2015,1970
USGS,6478513,60,294960,8,16,2014,2021,8,8/16/2015,1930
USGS,6478513,60,294960,8,17,2014,2021,8,8/17/2015,1870
USGS,6478513,60,294960,8,18,2014,2021,8,8/18/2015,1820
USGS,6478513,60,294960,8,19,2014,2021,8,8/19/2015,1780
USGS,6478513,60,294960,8,20,2014,2021,8,8/20/2015,1790
USGS,6478513,60,294960,8,21,2014,2021,8,8/21/2015,1800
USGS,6478513,60,294960,8,22,2014,2021,8,8/22/2015,1780
USGS,6478513,60,294960,8,23,2014,2021,8,8/23/2015,1760
USGS,6478513,60,294960,8,24,2014,2021,8,8/24/2015,1720
USGS,6478513,60,294960,8,25,2014,2021,8,8/25/2015,1680
USGS,6478513,60,294960,8,26,2014,2021,8,8/26/2015,1650
USGS,6478513,60,294960,8,27,2014,2021,8,8/27/2015,1620
USGS,6478513,60,294960,8,28,2014,2021,8,8/28/2015,1610
USGS,6478513,60,294960,8,29,2014,2021,8,8/29/2015,1630
USGS,6478513,60,294960,8,30,2014,2021,8,8/30/2015,1600
USGS,6478513,60,294960,8,31,2014,2021,8,8/31/2015,1590
USGS,6478513,60,294960,9,1,2014,2021,8,9/1/2015,1570
USGS,6478513,60,294960,9,2,2014,2021,8,9/2/2015,1530
USGS,6478513,60,294960,9,3,2014,2021,8,9/3/2015,1500
USGS,6478513,60,294960,9,4,2014,2021,8,9/4/2015,1460
USGS,6478513,60,294960,9,5,2014,2021,8,9/5/2015,1450
USGS,6478513,60,294960,9,6,2014,2021,8,9/6/2015,1440
USGS,6478513,60,294960,9,7,2014,2021,8,9/7/2015,1400
USGS,6478513,60,294960,9,8,2014,2021,8,9/8/2015,1360
USGS,6478513,60,294960,9,9,2014,2021,8,9/9/2015,1320
USGS,6478513,60,294960,9,10,2014,2021,8,9/10/2015,1300
USGS,6478513,60,294960,9,11,2014,2021,8,9/11/2015,1330
USGS,6478513,60,294960,9,12,2014,2021,8,9/12/2015,1790
USGS,6478513,60,294960,9,13,2014,2021,8,9/13/2015,3930
USGS,6478513,60,294960,9,14,2014,2021,8,9/14/2015,6230
USGS,6478513,60,294960,9,15,2014,2021,8,9/15/2015,5970
USGS,6478513,60,294960,9,16,2014,2021,8,9/16/2015,5510
USGS,6478513,60,294960,9,17,2014,2021,8,9/17/2015,4700
USGS,6478513,60,294960,9,18,2014,2021,8,9/18/2015,4060
USGS,6478513,60,294960,9,19,2014,2021,8,9/19/2015,3600
USGS,6478513,60,294960,9,20,2014,2021,8,9/20/2015,3620
