type,time,flow
vermillion river,7/26/2015 16:48,-121063.727
vermillion river,7/26/2015 19:12,-121057.289
vermillion river,7/26/2015 21:36,-121051.203
vermillion river,7/27/2015 0:00,-121045.031
vermillion river,7/27/2015 2:24,-121038.172
vermillion river,7/27/2015 4:48,-121031.57
vermillion river,7/27/2015 7:12,-121025.711
vermillion river,7/27/2015 9:36,-121018.727
vermillion river,7/27/2015 12:00,-121011.922
vermillion river,7/27/2015 14:24,-121004.273
vermillion river,7/27/2015 16:48,-120996.336
vermillion river,7/27/2015 19:12,-120988.484
vermillion river,7/27/2015 21:36,-120979.602
vermillion river,7/28/2015 0:00,-120971.797
vermillion river,7/28/2015 2:24,-120963.266
vermillion river,7/28/2015 4:48,-120954.719
vermillion river,7/28/2015 7:12,-120945.117
vermillion river,7/28/2015 9:36,-120935.813
vermillion river,7/28/2015 12:00,-120926.297
vermillion river,7/28/2015 14:24,-120916.617
vermillion river,7/28/2015 16:48,-120907.297
vermillion river,7/28/2015 19:12,-120898.859
vermillion river,7/28/2015 21:36,-120889.945
vermillion river,7/29/2015 0:00,-120880.766
vermillion river,7/29/2015 2:24,-120870.961
vermillion river,7/29/2015 4:48,-120860.352
vermillion river,7/29/2015 7:12,-120850.523
vermillion river,7/29/2015 9:36,-120840.602
vermillion river,7/29/2015 12:00,-120830.266
vermillion river,7/29/2015 14:24,-120820.852
vermillion river,7/29/2015 16:48,-120810.32
vermillion river,7/29/2015 19:12,-120799.461
vermillion river,7/29/2015 21:36,-120789.789
vermillion river,7/30/2015 0:00,-120779.797
vermillion river,7/30/2015 2:24,-120769.266
vermillion river,7/30/2015 4:48,-120758.859
vermillion river,7/30/2015 7:12,-120748.906
vermillion river,7/30/2015 9:36,-120738.781
vermillion river,7/30/2015 12:00,-120727.953
vermillion river,7/30/2015 14:24,-120717.625
vermillion river,7/30/2015 16:48,-120706.938
vermillion river,7/30/2015 19:12,-120696.086
vermillion river,7/30/2015 21:36,-120684.859
vermillion river,7/31/2015 0:00,-120673.484
vermillion river,7/31/2015 2:24,-120662.5
vermillion river,7/31/2015 4:48,-120651.813
vermillion river,7/31/2015 7:12,-120640.078
vermillion river,7/31/2015 9:36,-120628.414
vermillion river,7/31/2015 12:00,-120617.297
vermillion river,7/31/2015 14:24,-120605.109
vermillion river,7/31/2015 16:48,-120594.023
vermillion river,7/31/2015 19:12,-120582.594
vermillion river,7/31/2015 21:36,-120571.297
vermillion river,8/1/2015 0:00,-120559.547
ghb,7/1/2015 0:00,-24691.414
ghb,7/1/2015 2:24,-24683.053
ghb,7/1/2015 4:48,-24682.447
ghb,7/1/2015 7:12,-24682.367
ghb,7/1/2015 9:36,-24682.34
ghb,7/1/2015 12:00,-24682.332
ghb,7/1/2015 14:24,-24682.324
ghb,7/1/2015 16:48,-24682.322
ghb,7/1/2015 19:12,-24682.316
ghb,7/1/2015 21:36,-24682.314
ghb,7/2/2015 0:00,-24682.314
ghb,7/2/2015 2:24,-24682.314
ghb,7/2/2015 4:48,-24682.314
ghb,7/2/2015 7:12,-24682.313
ghb,7/2/2015 9:36,-24682.313
ghb,7/2/2015 12:00,-24682.313
ghb,7/2/2015 14:24,-24682.313
ghb,7/2/2015 16:48,-24682.313
ghb,7/2/2015 19:12,-24682.313
ghb,7/2/2015 21:36,-24682.314
ghb,7/3/2015 0:00,-24682.314
ghb,7/3/2015 2:24,-24682.314
ghb,7/3/2015 4:48,-24682.314
ghb,7/3/2015 7:11,-24682.313
ghb,7/3/2015 9:35,-24682.313
ghb,7/3/2015 11:59,-24682.313
ghb,7/3/2015 14:23,-24682.313
ghb,7/3/2015 16:47,-24682.313
ghb,7/3/2015 19:11,-24682.313
ghb,7/3/2015 21:35,-24682.314
ghb,7/3/2015 23:59,-24682.314
ghb,7/4/2015 2:23,-24682.314
ghb,7/4/2015 4:47,-24682.314
ghb,7/4/2015 7:11,-24682.313
ghb,7/4/2015 9:35,-24682.313
ghb,7/4/2015 11:59,-24682.313
ghb,7/4/2015 14:23,-24682.313
ghb,7/4/2015 16:47,-24682.313
ghb,7/4/2015 19:11,-24682.313
ghb,7/4/2015 21:35,-24682.314
ghb,7/4/2015 23:59,-24682.314
ghb,7/5/2015 2:23,-24682.314
ghb,7/5/2015 4:47,-24682.314
ghb,7/5/2015 7:11,-24682.313
ghb,7/5/2015 9:35,-24682.313
ghb,7/5/2015 11:59,-24682.313
ghb,7/5/2015 14:23,-24682.313
ghb,7/5/2015 16:47,-24682.313
ghb,7/5/2015 19:11,-24682.313
ghb,7/5/2015 21:35,-24682.314
