agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,date,count_nu,mean_va
USGS,6485950,60,128929,4,13,2015,2021,4/13/2015,7,6300
USGS,6485950,60,128929,4,14,2015,2021,4/14/2015,7,6240
USGS,6485950,60,128929,4,15,2015,2021,4/15/2015,7,6180
USGS,6485950,60,128929,4,16,2015,2021,4/16/2015,7,6170
USGS,6485950,60,128929,4,17,2015,2021,4/17/2015,7,6120
USGS,6485950,60,128929,4,18,2015,2021,4/18/2015,7,6090
USGS,6485950,60,128929,4,19,2015,2021,4/19/2015,7,6210
USGS,6485950,60,128929,4,20,2015,2021,4/20/2015,7,6470
USGS,6485950,60,128929,4,21,2015,2021,4/21/2015,7,6700
USGS,6485950,60,128929,4,22,2015,2021,4/22/2015,7,6730
USGS,6485950,60,128929,4,23,2015,2021,4/23/2015,7,6660
USGS,6485950,60,128929,4,24,2015,2021,4/24/2015,7,6660
USGS,6485950,60,128929,4,25,2015,2021,4/25/2015,7,6890
USGS,6485950,60,128929,4,26,2015,2021,4/26/2015,7,7110
USGS,6485950,60,128929,4,27,2015,2021,4/27/2015,7,7170
USGS,6485950,60,128929,4,28,2015,2021,4/28/2015,7,7130
USGS,6485950,60,128929,4,29,2015,2021,4/29/2015,7,6940
USGS,6485950,60,128929,4,30,2015,2021,4/30/2015,7,7000
USGS,6485950,60,128929,5,1,2015,2021,5/1/2015,7,7460
USGS,6485950,60,128929,5,2,2015,2021,5/2/2015,7,7700
USGS,6485950,60,128929,5,3,2015,2021,5/3/2015,7,7550
USGS,6485950,60,128929,5,4,2015,2021,5/4/2015,7,7450
USGS,6485950,60,128929,5,5,2015,2021,5/5/2015,7,7160
USGS,6485950,60,128929,5,6,2015,2021,5/6/2015,7,6600
USGS,6485950,60,128929,5,7,2015,2021,5/7/2015,7,6010
USGS,6485950,60,128929,5,8,2015,2021,5/8/2015,7,5690
USGS,6485950,60,128929,5,9,2015,2021,5/9/2015,7,5500
USGS,6485950,60,128929,5,10,2015,2021,5/10/2015,7,5400
USGS,6485950,60,128929,5,11,2015,2021,5/11/2015,7,5260
USGS,6485950,60,128929,5,12,2015,2021,5/12/2015,7,5450
USGS,6485950,60,128929,5,13,2015,2021,5/13/2015,7,5890
USGS,6485950,60,128929,5,14,2015,2021,5/14/2015,7,6010
USGS,6485950,60,128929,5,15,2015,2021,5/15/2015,7,6070
USGS,6485950,60,128929,5,16,2015,2021,5/16/2015,7,5770
USGS,6485950,60,128929,5,17,2015,2021,5/17/2015,7,5580
USGS,6485950,60,128929,5,18,2015,2021,5/18/2015,7,5550
USGS,6485950,60,128929,5,19,2015,2021,5/19/2015,7,5490
USGS,6485950,60,128929,5,20,2015,2021,5/20/2015,7,5760
USGS,6485950,60,128929,5,21,2015,2021,5/21/2015,7,5730
USGS,6485950,60,128929,5,22,2015,2021,5/22/2015,7,5580
USGS,6485950,60,128929,5,23,2015,2021,5/23/2015,7,5580
USGS,6485950,60,128929,5,24,2015,2021,5/24/2015,7,5920
USGS,6485950,60,128929,5,25,2015,2021,5/25/2015,7,5960
USGS,6485950,60,128929,5,26,2015,2021,5/26/2015,7,6190
USGS,6485950,60,128929,5,27,2015,2021,5/27/2015,7,6780
USGS,6485950,60,128929,5,28,2015,2021,5/28/2015,7,7020
USGS,6485950,60,128929,5,29,2015,2021,5/29/2015,7,7440
USGS,6485950,60,128929,5,30,2015,2021,5/30/2015,7,8410
USGS,6485950,60,128929,5,31,2015,2021,5/31/2015,7,8990
USGS,6485950,60,128929,6,1,2015,2021,6/1/2015,7,8720
USGS,6485950,60,128929,6,2,2015,2021,6/2/2015,7,8230
USGS,6485950,60,128929,6,3,2015,2021,6/3/2015,7,7630
USGS,6485950,60,128929,6,4,2015,2021,6/4/2015,7,6970
USGS,6485950,60,128929,6,5,2015,2021,6/5/2015,7,6380
USGS,6485950,60,128929,6,6,2015,2021,6/6/2015,7,5850
USGS,6485950,60,128929,6,7,2015,2021,6/7/2015,7,5490
USGS,6485950,60,128929,6,8,2015,2021,6/8/2015,7,5270
USGS,6485950,60,128929,6,9,2015,2021,6/9/2015,7,5130
USGS,6485950,60,128929,6,10,2015,2021,6/10/2015,7,5020
USGS,6485950,60,128929,6,11,2015,2021,6/11/2015,7,5060
USGS,6485950,60,128929,6,12,2015,2021,6/12/2015,7,4960
USGS,6485950,60,128929,6,13,2015,2021,6/13/2015,7,4660
USGS,6485950,60,128929,6,14,2015,2021,6/14/2015,7,4570
USGS,6485950,60,128929,6,15,2015,2021,6/15/2015,7,4640
USGS,6485950,60,128929,6,16,2015,2021,6/16/2015,7,4590
USGS,6485950,60,128929,6,17,2015,2021,6/17/2015,7,4680
USGS,6485950,60,128929,6,18,2015,2021,6/18/2015,7,4850
USGS,6485950,60,128929,6,19,2015,2021,6/19/2015,7,4760
USGS,6485950,60,128929,6,20,2015,2021,6/20/2015,7,4650
USGS,6485950,60,128929,6,21,2015,2021,6/21/2015,7,4950
USGS,6485950,60,128929,6,22,2015,2021,6/22/2015,7,5330
USGS,6485950,60,128929,6,23,2015,2021,6/23/2015,7,5690
USGS,6485950,60,128929,6,24,2015,2021,6/24/2015,7,7100
USGS,6485950,60,128929,6,25,2015,2021,6/25/2015,7,8730
USGS,6485950,60,128929,6,26,2015,2021,6/26/2015,7,9260
USGS,6485950,60,128929,6,27,2015,2021,6/27/2015,7,8320
USGS,6485950,60,128929,6,28,2015,2021,6/28/2015,7,7820
USGS,6485950,60,128929,6,29,2015,2021,6/29/2015,7,8320
USGS,6485950,60,128929,6,30,2015,2021,6/30/2015,7,8340
USGS,6485950,60,128929,7,1,2015,2021,7/1/2015,7,7510
USGS,6485950,60,128929,7,2,2015,2021,7/2/2015,7,6790
USGS,6485950,60,128929,7,3,2015,2021,7/3/2015,7,6130
USGS,6485950,60,128929,7,4,2015,2021,7/4/2015,7,5770
USGS,6485950,60,128929,7,5,2015,2021,7/5/2015,7,5450
USGS,6485950,60,128929,7,6,2015,2021,7/6/2015,7,5210
USGS,6485950,60,128929,7,7,2015,2021,7/7/2015,7,5270
USGS,6485950,60,128929,7,8,2015,2021,7/8/2015,7,5430
USGS,6485950,60,128929,7,9,2015,2021,7/9/2015,7,5740
USGS,6485950,60,128929,7,10,2015,2021,7/10/2015,7,5650
USGS,6485950,60,128929,7,11,2015,2021,7/11/2015,7,5070
USGS,6485950,60,128929,7,12,2015,2021,7/12/2015,7,4700
USGS,6485950,60,128929,7,13,2015,2021,7/13/2015,7,4640
USGS,6485950,60,128929,7,14,2015,2021,7/14/2015,7,4770
USGS,6485950,60,128929,7,15,2015,2021,7/15/2015,7,4520
USGS,6485950,60,128929,7,16,2015,2021,7/16/2015,7,4400
USGS,6485950,60,128929,7,17,2015,2021,7/17/2015,7,4360
USGS,6485950,60,128929,7,18,2015,2021,7/18/2015,7,4290
USGS,6485950,60,128929,7,19,2015,2021,7/19/2015,7,4230
USGS,6485950,60,128929,7,20,2015,2021,7/20/2015,7,4350
USGS,6485950,60,128929,7,21,2015,2021,7/21/2015,7,4210
USGS,6485950,60,128929,7,22,2015,2021,7/22/2015,7,3930
USGS,6485950,60,128929,7,23,2015,2021,7/23/2015,7,3780
USGS,6485950,60,128929,7,24,2015,2021,7/24/2015,7,3650
USGS,6485950,60,128929,7,25,2015,2021,7/25/2015,7,3480
USGS,6485950,60,128929,7,26,2015,2021,7/26/2015,7,3340
USGS,6485950,60,128929,7,27,2015,2021,7/27/2015,7,3210
USGS,6485950,60,128929,7,28,2015,2021,7/28/2015,7,3000
USGS,6485950,60,128929,7,29,2015,2021,7/29/2015,7,2860
USGS,6485950,60,128929,7,30,2015,2021,7/30/2015,7,2660
USGS,6485950,60,128929,7,31,2015,2021,7/31/2015,7,2520
USGS,6485950,60,128929,8,1,2015,2021,8/1/2015,7,2430
USGS,6485950,60,128929,8,2,2015,2021,8/2/2015,7,2370
USGS,6485950,60,128929,8,3,2015,2021,8/3/2015,7,2350
USGS,6485950,60,128929,8,4,2015,2021,8/4/2015,7,2400
USGS,6485950,60,128929,8,5,2015,2021,8/5/2015,7,2380
USGS,6485950,60,128929,8,6,2015,2021,8/6/2015,7,2410
USGS,6485950,60,128929,8,7,2015,2021,8/7/2015,7,2370
USGS,6485950,60,128929,8,8,2015,2021,8/8/2015,7,2300
USGS,6485950,60,128929,8,9,2015,2021,8/9/2015,7,2260
USGS,6485950,60,128929,8,10,2015,2021,8/10/2015,7,2210
USGS,6485950,60,128929,8,11,2015,2021,8/11/2015,7,2110
USGS,6485950,60,128929,8,12,2015,2021,8/12/2015,7,2060
USGS,6485950,60,128929,8,13,2015,2021,8/13/2015,7,2060
USGS,6485950,60,128929,8,14,2015,2021,8/14/2015,7,2100
USGS,6485950,60,128929,8,15,2015,2021,8/15/2015,7,2140
USGS,6485950,60,128929,8,16,2015,2021,8/16/2015,7,2140
USGS,6485950,60,128929,8,17,2015,2021,8/17/2015,7,2120
USGS,6485950,60,128929,8,18,2015,2021,8/18/2015,7,2180
USGS,6485950,60,128929,8,19,2015,2021,8/19/2015,7,2280
USGS,6485950,60,128929,8,20,2015,2021,8/20/2015,7,2370
USGS,6485950,60,128929,8,21,2015,2021,8/21/2015,7,2360
USGS,6485950,60,128929,8,22,2015,2021,8/22/2015,7,2420
USGS,6485950,60,128929,8,23,2015,2021,8/23/2015,7,2470
USGS,6485950,60,128929,8,24,2015,2021,8/24/2015,7,2470
USGS,6485950,60,128929,8,25,2015,2021,8/25/2015,7,2440
USGS,6485950,60,128929,8,26,2015,2021,8/26/2015,7,2460
USGS,6485950,60,128929,8,27,2015,2021,8/27/2015,7,2330
USGS,6485950,60,128929,8,28,2015,2021,8/28/2015,7,2270
USGS,6485950,60,128929,8,29,2015,2021,8/29/2015,7,2240
USGS,6485950,60,128929,8,30,2015,2021,8/30/2015,7,2340
USGS,6485950,60,128929,8,31,2015,2021,8/31/2015,7,2460
USGS,6485950,60,128929,9,1,2015,2021,9/1/2015,7,2410
USGS,6485950,60,128929,9,2,2015,2021,9/2/2015,7,2220
USGS,6485950,60,128929,9,3,2015,2021,9/3/2015,7,2130
USGS,6485950,60,128929,9,4,2015,2021,9/4/2015,7,2090
